"ID","NOM","NOM_M","INSEE_COM","STATUT","POPULATION","INSEE_CAN","INSEE_ARR","INSEE_DEP","INSEE_REG","SIREN_EPCI"
"COMMUNE_0000000009749745","Simandre-sur-Suran","SIMANDRE-SUR-SURAN","01408","Commune simple",659,"18","2","01","84","200071751"
"COMMUNE_0000000009749512","Sauverny","SAUVERNY","01397","Commune simple",988,"09","3","01","84","240100750"
"COMMUNE_0000000009750693","Saint-Jean-le-Vieux","SAINT-JEAN-LE-VIEUX","01363","Commune simple",1786,"16","4","01","84","200029999"
"COMMUNE_0000000009751446","Virieu-le-Grand","VIRIEU-LE-GRAND","01452","Commune simple",1127,"04","1","01","84","200040350"
"COMMUNE_0000000009749747","Val-Revermont","VAL-REVERMONT","01426","Commune simple",2506,"18","2","01","84","200071751"
"COMMUNE_0000000009749986","Bey","BEY","01042","Commune simple",291,"23","2","01","84","200070555"
"COMMUNE_0000000009751447","Rossillon","ROSSILLON","01329","Commune simple",157,"04","1","01","84","200040350"
"COMMUNE_0000000009751724","Marignieu","MARIGNIEU","01234","Commune simple",167,"04","1","01","84","200040350"
"COMMUNE_0000000009751721","Massignieu-de-Rives","MASSIGNIEU-DE-RIVES","01239","Commune simple",631,"04","1","01","84","200040350"
"COMMUNE_0000000009750460","Mérignat","MERIGNAT","01242","Commune simple",136,"16","4","01","84","200029999"
"COMMUNE_0000000009750477","Valeins","VALEINS","01428","Commune simple",128,"08","2","01","84","200069193"
"COMMUNE_0000000009751722","Cressin-Rochefort","CRESSIN-ROCHEFORT","01133","Commune simple",395,"04","1","01","84","200040350"
"COMMUNE_0000000009750684","Ruffieu","RUFFIEU","01330","Commune simple",180,"10","1","01","84","200040350"
"COMMUNE_0000000009751475","Miribel","MIRIBEL","01249","Commune simple",10202,"13","2","01","84","240100800"
"COMMUNE_0000000009750961","Rancé","RANCE","01318","Commune simple",735,"22","2","01","84","200042497"
"COMMUNE_0000000009750237","Saint-Étienne-sur-Chalaronne","SAINT-ETIENNE-SUR-CHALARONNE","01351","Commune simple",1602,"08","2","01","84","200070118"
"COMMUNE_0000000009750954","Lapeyrouse","LAPEYROUSE","01207","Commune simple",314,"22","2","01","84","200069193"
"COMMUNE_0000000009751198","Sainte-Julie","SAINTE-JULIE","01366","Commune simple",1088,"11","1","01","84","240100883"
"COMMUNE_0000000009751199","Leyment","LEYMENT","01213","Commune simple",1332,"11","1","01","84","240100883"
"COMMUNE_0000000009750239","Peyzieux-sur-Saône","PEYZIEUX-SUR-SAONE","01295","Commune simple",676,"08","2","01","84","200070118"
"COMMUNE_0000000009749109","Mantenay-Montlin","MANTENAY-MONTLIN","01230","Commune simple",310,"17","2","01","84","200071751"
"COMMUNE_0000000009749117","Gorrevod","GORREVOD","01175","Commune simple",790,"17","2","01","84","200071371"
"COMMUNE_0000000009750469","Dompierre-sur-Veyle","DOMPIERRE-SUR-VEYLE","01145","Commune simple",1190,"07","2","01","84","200071751"
"COMMUNE_0000000009750479","Chaneins","CHANEINS","01083","Commune simple",965,"22","2","01","84","200069193"
"COMMUNE_0000000009751470","Niévroz","NIEVROZ","01276","Commune simple",1627,"13","2","01","84","240100610"
"COMMUNE_0000000009749556","Bâgé-Dommartin","BAGE-DOMMARTIN","01025","Commune simple",4068,"17","2","01","84","200071371"
"COMMUNE_0000000009750681","Chanay","CHANAY","01082","Commune simple",637,"03","4","01","84","240100891"
"COMMUNE_0000000009750462","Jujurieux","JUJURIEUX","01199","Commune simple",2129,"16","4","01","84","200029999"
"COMMUNE_0000000009751443","Saint-Martin-de-Bavel","SAINT-MARTIN-DE-BAVEL","01372","Commune simple",441,"04","1","01","84","200040350"
"COMMUNE_0000000009749108","Saint-Nizier-le-Bouchoux","SAINT-NIZIER-LE-BOUCHOUX","01380","Commune simple",612,"17","2","01","84","200071751"
"COMMUNE_0000000009751474","Tramoyes","TRAMOYES","01424","Commune simple",1823,"13","2","01","84","240100800"
"COMMUNE_0000000009750929","Champagne-en-Valromey","CHAMPAGNE-EN-VALROMEY","01079","Commune simple",822,"10","1","01","84","200040350"
"COMMUNE_0000000009750471","Saint-Nizier-le-Désert","SAINT-NIZIER-LE-DESERT","01381","Commune simple",920,"07","2","01","84","200069193"
"COMMUNE_0000000009750199","Léaz","LEAZ","01209","Commune simple",796,"20","3","01","84","240100750"
"COMMUNE_0000000009751733","Seillonnaz","SEILLONNAZ","01400","Commune simple",139,"11","1","01","84","240100883"
"COMMUNE_0000000009750958","Ambérieux-en-Dombes","AMBERIEUX-EN-DOMBES","01005","Commune simple",1782,"22","2","01","84","200042497"
"COMMUNE_0000000009751450","Armix","ARMIX","01019","Commune simple",26,"10","1","01","84","200040350"
"COMMUNE_0000000009749102","Domsure","DOMSURE","01147","Commune simple",509,"18","2","01","84","200071751"
"COMMUNE_0000000009750235","Sulignat","SULIGNAT","01412","Commune simple",611,"08","2","01","84","200069193"
"COMMUNE_0000000009750218","Hautecourt-Romanèche","HAUTECOURT-ROMANECHE","01184","Commune simple",756,"18","2","01","84","200071751"
"COMMUNE_0000000009750708","Fareins","FAREINS","01157","Commune simple",2339,"22","2","01","84","200042497"
"COMMUNE_0000000009749544","Villemotier","VILLEMOTIER","01445","Commune simple",628,"18","2","01","84","200071751"
"COMMUNE_0000000009751445","Ceyzérieu","CEYZERIEU","01073","Commune simple",995,"04","1","01","84","200040350"
"COMMUNE_0000000009749970","Saint-Denis-lès-Bourg","SAINT-DENIS-LES-BOURG","01344","Commune simple",5971,"06","2","01","84","200071751"
"COMMUNE_0000000009751970","Virignin","VIRIGNIN","01454","Commune simple",1118,"04","1","01","84","200040350"
"COMMUNE_0000000009750448","Injoux-Génissiat","INJOUX-GENISSIAT","01189","Commune simple",1123,"03","4","01","84","240100891"
"COMMUNE_0000000009751207","Faramans","FARAMANS","01156","Commune simple",843,"12","1","01","84","240100883"
"COMMUNE_0000000009750221","Revonnas","REVONNAS","01321","Commune simple",892,"07","2","01","84","200071751"
"COMMUNE_0000000009749983","Garnerans","GARNERANS","01167","Commune simple",657,"08","2","01","84","200070118"
"COMMUNE_0000000009749956","Nurieux-Volognat","NURIEUX-VOLOGNAT","01267","Commune simple",1008,"16","4","01","84","200042935"
"COMMUNE_0000000009751442","Vongnes","VONGNES","01456","Commune simple",71,"04","1","01","84","200040350"
"COMMUNE_0000000009750695","Varambon","VARAMBON","01430","Commune simple",636,"16","4","01","84","200029999"
"COMMUNE_0000000009750457","Lantenay","LANTENAY","01206","Commune simple",274,"10","4","01","84","200042935"
"COMMUNE_0000002200276461","Bresse Vallons","BRESSE VALLONS","01130","Commune simple",2368,"02","2","01","84","200071751"
"COMMUNE_0000000009750464","Saint-Martin-du-Mont","SAINT-MARTIN-DU-MONT","01374","Commune simple",1877,"07","2","01","84","200071751"
"COMMUNE_0000000009749946","Farges","FARGES","01158","Commune simple",1053,"20","3","01","84","240100750"
